YearMonth,Sales (m)
2025-1,72.45048
2025-2,73.99130
2025-3,76.11605
2025-4,80.27044
2025-5,73.10539
2025-6,66.66382
2025-7,65.98844
2025-8,69.48180
2025-9,78.51508
2025-10,65.89159
2025-11,79.67798
2025-12,79.84679
2026-1,72.09140
2026-2,83.17577
2026-3,79.14327
2026-4,85.82591
2026-5,70.41418
2026-6,68.81332
2026-7,63.79152
2026-8,75.34061
2026-9,84.93346
2026-10,72.78681
2026-11,79.18504
2026-12,86.33679
2027-1,82.31799
2027-2,85.83403
2027-3,84.32723
2027-4,88.56505
2027-5,72.16734
2027-6,76.71821
2027-7,65.23420
2027-8,77.73125
2027-9,85.45101
